station_id,station_name
240,PIYAGAMA
218,POLGAHAWELA
220,POLONNARUWA
221,POLWATHUMODARA
229,POONEWA
419,PORAPOLA
418,PORAPOLA JUNC.
234,POTUHERA
206,PULACHCHIKULAM
330,PULIYANKULAM
225,PUNANI
406,PUNKANKULAM
235,PUTTALAM
445,PUWAKPITIYA
446,PUWAKPITIYA TOWN
477,Polgaha Anga
243,RADELLA
246,RAGAMA
241,RAMBUKKANA
247,RANAMUGGAMUWA
245,RANDENIGAMA
249,RATHGAMA
248,RATMALANA
244,REDEETHENNA
242,RICHMOND HILL
250,ROSELLA
251,SALIYAPURA
404,SANKATHANAI
257,SARASAVIUYANA
259,SAWARANA
252,SECRETARIAL HALT
253,SEEDUWA
255,SEENIGAMA
254,SENARATHGAMA
258,SEVANAPITIYA
339,SIYABALANGAMUWA
260,SIYALANGAMUWA
256,SRAWASTHIPURA
437,TALAIMANNAR
438,TALAIMANNAR PIER
270,TALAWA
269,TALAWAKELE
276,TALAWATTEGEDARA
461,TAWALANOYA
426,TELLIPALLAI
277,TELWATTE
262,TEMBLIGALA
405,THACHANTHOPPU
271,THALPE
414,THAMBAGALLA
263,THAMBUTTEGAMA
265,THANDIKULAM
433,THIIRUKETHEESWARAM
267,THILLADIYA
272,THIRANAGAMA
435,THODDAVELI
268,TIMBIRIYAGEDARA
274,TISMALPOLA
273,TRAIN HALT 01
264,TRINCOMALEE
275,TUDELLA
266,TUMMODARA
450,Thambalagamuwa
455,Thuruliyagama
278,UDATALAWINNA
285,UDATHTHAWALA
281,UDHAMULLA
413,UDUGODAGAMA
279,UDUWARA
280,UGGALLA
282,UKUWELA
283,ULAPANE
284,UNAWATUNA
412,UYANGALLA
451,Urugodawattha
286,VALACHCHENEI
288,VANDARAMULLAI
289,VAVUNIYA
287,VEYANGODA
340,VIRALMURIPPUWA
292,WADDUWA
295,WAGA
299,WAIKKALA
296,WALAHAPITIYA
407,WALASWEWA
301,WALGAMA
303,WALPOLA
306,WANAWASALA
305,WANDURAWA
308,WATAGODA
336,WATARAKA
300,WATAWALA
294,WATTEGAMA
486,WEHERAHENA
302,WELIGAMA
298,WELIKANDA
293,WELLAWA
307,WELLAWATTA
411,WERAGALA
489,WEWURUKANNALA
304,WIJAYARAJADAHANA
309,WILWATTE
297,WLAKUBURA
478,Weligalla
387,YAGODA
315,YAPAHUWA
313,YATAGAMA
463,YATAWARA
311,YATIRAWANA
316,YATTALGODA
